	Classifier	Threshold	FAR	FRR
207	"[[ 0]
 [ 7]
 [11]]"	14027.1	9.9610468009022e-05	0.1352039317812457
208	"[[ 0]
 [ 7]
 [12]]"	14562.420000000002	9.9610468009022e-05	0.13252139178790312
209	"[[ 0]
 [ 7]
 [13]]"	14596.42	9.9610468009022e-05	0.13659415323764953
210	"[[0]
 [7]]"	9768.68	9.9610468009022e-05	0.1681776350570774
211	"[[ 0]
 [ 8]
 [ 9]
 [10]
 [11]]"	21941.57	9.9610468009022e-05	0.10240645376045114
212	"[[ 0]
 [ 8]
 [ 9]
 [10]
 [12]]"	22178.0	9.9610468009022e-05	0.0907755869280022
213	"[[ 0]
 [ 8]
 [ 9]
 [10]
 [13]]"	22268.13	9.9610468009022e-05	0.09208748604883397
214	"[[ 0]
 [ 8]
 [ 9]
 [10]]"	17488.23	9.9610468009022e-05	0.09858823990131385
215	"[[ 0]
 [ 8]
 [ 9]
 [11]
 [12]]"	22441.789999999997	9.9610468009022e-05	0.09369309392806094
216	"[[ 0]
 [ 8]
 [ 9]
 [11]
 [13]]"	22538.1	9.9610468009022e-05	0.09541618531064597
217	"[[ 0]
 [ 8]
 [ 9]
 [11]]"	17756.989999999998	9.9610468009022e-05	0.10291554894166945
218	"[[ 0]
 [ 8]
 [ 9]
 [12]]"	18438.5	9.9610468009022e-05	0.11239255154588709
219	"[[ 0]
 [ 8]
 [ 9]
 [13]]"	18519.510000000002	9.9610468009022e-05	0.1169156664251728
220	"[[0]
 [8]
 [9]]"	13834.230000000001	9.9610468009022e-05	0.14111726811693526
221	"[[ 0]
 [ 8]
 [10]
 [11]
 [12]]"	22267.86	9.9610468009022e-05	0.10056587887450803
222	"[[ 0]
 [ 8]
 [10]
 [11]
 [13]]"	22330.04	9.9610468009022e-05	0.10236729259266511
223	"[[ 0]
 [ 8]
 [10]
 [11]]"	17660.09	9.9610468009022e-05	0.11901078890172505
224	"[[ 0]
 [ 8]
 [10]
 [12]]"	17730.27	9.9610468009022e-05	0.09300777349180553
225	"[[ 0]
 [ 8]
 [10]
 [13]]"	17810.1	9.9610468009022e-05	0.09437841436431635
226	"[[ 0]
 [ 8]
 [10]]"	13043.43	9.9610468009022e-05	0.10495192966654265
227	"[[ 0]
 [ 8]
 [11]
 [12]]"	17974.11	9.9610468009022e-05	0.09531828239118091
228	"[[ 0]
 [ 8]
 [11]
 [13]]"	18037.91	9.9610468009022e-05	0.0959840222435433
229	"[[ 0]
 [ 8]
 [11]]"	13282.46	9.9610468009022e-05	0.10665544046523467
230	"[[ 0]
 [ 8]
 [12]
 [13]]"	18980.21	9.9610468009022e-05	0.12085136378766814
231	"[[ 0]
 [ 8]
 [12]]"	13966.26	9.9610468009022e-05	0.11963736758630142
232	"[[ 0]
 [ 8]
 [13]]"	13961.689999999999	9.9610468009022e-05	0.11961778700240841
233	"[[0]
 [8]]"	9184.630000000001	9.9610468009022e-05	0.14295784300287834
234	"[[ 0]
 [ 9]
 [10]
 [11]
 [12]]"	22555.93	9.9610468009022e-05	0.10620508703569541
235	"[[ 0]
 [ 9]
 [10]
 [11]
 [13]]"	22608.649999999998	9.9610468009022e-05	0.10841769301560572
236	"[[ 0]
 [ 9]
 [10]
 [11]]"	17960.22	9.9610468009022e-05	0.12929059544555618
237	"[[ 0]
 [ 9]
 [10]
 [12]]"	18001.81	9.9610468009022e-05	0.09708053494155196
238	"[[ 0]
 [ 9]
 [10]
 [13]]"	18057.64	9.9610468009022e-05	0.09823578939123964
239	"[[ 0]
 [ 9]
 [10]]"	13287.96	9.9610468009022e-05	0.1110414912572693
240	"[[ 0]
 [ 9]
 [11]
 [12]]"	18237.12	9.9610468009022e-05	0.09862740106909988
241	"[[ 0]
 [ 9]
 [11]
 [13]]"	18289.55	9.9610468009022e-05	0.09976307493489456
242	"[[ 0]
 [ 9]
 [11]]"	13504.759999999998	9.9610468009022e-05	0.11080652425055315
243	"[[ 0]
 [ 9]
 [12]
 [13]]"	19237.879999999997	9.9610468009022e-05	0.12566818742534902
244	"[[ 0]
 [ 9]
 [12]]"	14183.970000000001	9.9610468009022e-05	0.12341642027765268
245	"[[ 0]
 [ 9]
 [13]]"	14197.01	9.9610468009022e-05	0.12433670772062423
246	"[[0]
 [9]]"	9356.05	9.9610468009022e-05	0.1462669616807973
